"Risk_category","Students","Share","Mean_predicted","Observed_rate","Observed_risks"
"Monitor",298,"44.7%","11.0%","11.1%",33
"Watch",42,"6.3%","41.1%","38.1%",16
"Review",43,"6.5%","56.4%","72.1%",31
"Priority",283,"42.5%","92.5%","94.3%",267
