"Measure","Value"
"Training paired records","1,485"
"Latest-year paired records","252"
"Latest-year section-year groups","24"
"Latest-year groups with at least 5 paired records","23"
"Latest-year groups with at least 8 paired records","23"
"Latest-year mean raw BOY/EOY gain","5.34"
"Latest-year raw-vs-adjusted rank correlation","0.826"
"Latest-year top-10 overlap, raw vs adjusted ranking","70.0%"
