"Decile","N","Mean_predicted","Observed_rate","Risks","Lift","Cumulative_capture"
1,66,"99.9%","100.0%",66,"1.92x","19.0%"
2,67,"99.1%","100.0%",67,"1.92x","38.3%"
3,66,"95.2%","98.5%",65,"1.89x","57.1%"
4,67,"82.0%","86.6%",58,"1.66x","73.8%"
5,67,"58.8%","70.1%",47,"1.35x","87.3%"
6,66,"35.2%","24.2%",16,"0.47x","91.9%"
7,67,"18.8%","17.9%",12,"0.34x","95.4%"
8,66,"10.1%","6.1%",4,"0.12x","96.5%"
9,67,"4.4%","11.9%",8,"0.23x","98.8%"
10,67,"2.0%","6.0%",4,"0.11x","100.0%"
