"Diagnostic","Value","DisplayValue"
"Individual gain SD",5.07873250368761,"5.079"
"Student mean-gain R-squared",0.352177855058337,"0.352"
"Section mean-gain R-squared",0.262538335693236,"0.263"
"Course mean-gain R-squared",0.524137158736896,"0.524"
"Teacher mean-gain R-squared",0.662915792440014,"0.663"
"Selected train-validation R-squared gap",0.256169470054281,"0.256"
