"section_id","teacher_id","course_id","Level","Target","N","Raw_gain","Expected_gain","Adjusted_gap","CI_95","P_value","Q_value","Decision"
"Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-021 / MATH-AP-CALC-AB / TCH-005",12,"3.10","5.77","-2.67","-5.15 to -0.31","0.033","0.200","Intervention target"
"","","MATH-PRECALC","Course","MATH-PRECALC",40,"4.99","6.41","-1.41","-2.88 to -0.25","0.013","0.040","Intervention target"
"","","MATH-AP-PRECALC","Course","MATH-AP-PRECALC",30,"6.11","4.18","1.93","0.30 to 3.20","0.007","0.030","Positive anomaly"
"Y06-SEC-002","TCH-002","MATH-GEOM","Section","Y06-SEC-002 / MATH-GEOM / TCH-002",10,"9.02","6.56","2.46","0.16 to 4.92","0.033","0.200","Positive anomaly"
"Y06-SEC-013","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-013 / MATH-AP-PRECALC / TCH-004",9,"7.18","4.28","2.90","0.98 to 4.80","0.003","0.040","Positive anomaly"
"Y06-SEC-019","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-019 / MATH-AP-CALC-AB / TCH-005",12,"2.41","5.01","-2.60","-5.04 to 0.12","0.067","0.320","Watch list"
"Y06-SEC-004","TCH-002","MATH-GEOM","Section","Y06-SEC-004 / MATH-GEOM / TCH-002",9,"4.01","6.45","-2.44","-6.44 to 2.33","0.267","0.556","Watch list"
"Y06-SEC-016","TCH-004","MATH-PRECALC","Section","Y06-SEC-016 / MATH-PRECALC / TCH-004",10,"4.11","6.27","-2.15","-5.05 to 0.27","0.087","0.347","Watch list"
"Y06-SEC-017","TCH-003","MATH-PRECALC","Section","Y06-SEC-017 / MATH-PRECALC / TCH-003",9,"4.78","6.72","-1.94","-5.60 to 1.70","0.313","0.556","Watch list"
"Y06-SEC-023","TCH-005","MATH-AP-CALC-BC","Section","Y06-SEC-023 / MATH-AP-CALC-BC / TCH-005",9,"1.89","3.75","-1.87","-4.37 to 0.64","0.107","0.366","Watch list"
"Y06-SEC-005","TCH-001","MATH-GEOM","Section","Y06-SEC-005 / MATH-GEOM / TCH-001",11,"4.00","5.31","-1.31","-3.82 to 1.70","0.400","0.556","Watch list"
"Y06-SEC-014","TCH-003","MATH-PRECALC","Section","Y06-SEC-014 / MATH-PRECALC / TCH-003",10,"4.81","6.04","-1.23","-4.13 to 1.80","0.440","0.556","Watch list"
"","TCH-005","","Teacher","TCH-005",68,"3.81","4.80","-0.99","-2.19 to 0.06","0.073","0.367","Watch list"
"","","MATH-AP-CALC-AB","Course","MATH-AP-CALC-AB",49,"4.31","5.17","-0.86","-2.23 to 0.37","0.213","0.384","Watch list"
"Y06-SEC-007","TCH-002","MATH-ALG2","Section","Y06-SEC-007 / MATH-ALG2 / TCH-002",12,"5.79","6.65","-0.87","-2.93 to 1.40","0.393","0.556","Watch list"
"Y06-SEC-022","TCH-005","MATH-AP-CALC-BC","Section","Y06-SEC-022 / MATH-AP-CALC-BC / TCH-005",10,"3.10","3.94","-0.84","-2.82 to 1.38","0.380","0.556","Watch list"
"Y06-SEC-001","TCH-001","MATH-ALG1","Section","Y06-SEC-001 / MATH-ALG1 / TCH-001",13,"7.13","6.32","0.81","-1.29 to 2.58","0.340","0.556","Watch list"
"Y06-SEC-003","TCH-001","MATH-GEOM","Section","Y06-SEC-003 / MATH-GEOM / TCH-001",9,"7.02","6.01","1.01","-1.28 to 3.30","0.487","0.584","Watch list"
"Y06-SEC-010","TCH-003","MATH-ALG2-H","Section","Y06-SEC-010 / MATH-ALG2-H / TCH-003",12,"6.90","5.94","0.96","-1.26 to 3.15","0.440","0.556","Watch list"
"Y06-SEC-012","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-012 / MATH-AP-PRECALC / TCH-004",11,"5.64","4.63","1.01","-2.15 to 3.72","0.407","0.556","Watch list"
"Y06-SEC-006","TCH-002","MATH-ALG2","Section","Y06-SEC-006 / MATH-ALG2 / TCH-002",11,"7.63","6.50","1.13","-0.88 to 2.99","0.267","0.556","Watch list"
"Y06-SEC-018","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-018 / MATH-AP-CALC-AB / TCH-005",13,"6.69","5.35","1.33","-1.45 to 3.60","0.360","0.556","Watch list"
"Y06-SEC-011","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-011 / MATH-AP-PRECALC / TCH-004",10,"5.67","3.60","2.07","-0.61 to 4.79","0.173","0.520","Watch list"
