"Measure","Value"
"Raw assessment rows","4,018"
"Modeled transitions","3,322"
"Unique public-safe student IDs","696"
"Support-risk event rate","52.1%"
"Current nonparticipation rate","7.2%"
"Next-window nonparticipation rate","7.2%"
"Median current readiness","47.7"
"Included assessment windows","beginning_of_year, end_of_year"
