"Subgroup","Level","N","Mean_predicted","Observed_rate","Calibration_gap","Observed_events"
"segment","Enterprise",58,"8.8%","13.8%","5.0%",8
"segment","Mid-Market",112,"15.6%","14.3%","-1.3%",16
"segment","SMB",92,"23.0%","22.8%","-0.2%",21
"segment","Strategic",18,"17.9%","16.7%","-1.2%",3
"implementation_complexity","High",55,"35.7%","38.2%","2.5%",21
"implementation_complexity","Low",111,"12.3%","9.9%","-2.4%",11
"implementation_complexity","Medium",114,"11.9%","14.0%","2.1%",16
