"Model","Selected","Parameters","CV_LogLoss","CV_LogLoss_SD","CV_Brier","CV_AUC","CV_AUC_SD","Holdout_LogLoss","Holdout_Brier","Holdout_AUC","AIC","Delta_CV_LogLoss"
"Full operating model",TRUE,15,0.366347631031158,0.00479877871129054,0.112061993678217,0.797312769396552,0.00883048966724815,0.421622457999098,0.128844543034361,0.718929597701149,811.813623595371,0
"Full model with interaction",FALSE,16,0.366753680530119,0.00486499094356609,0.112310293905245,0.798134990122126,0.00816728193993045,0.421720153117163,0.128405848998625,0.720815373563218,813.053333965716,0.000406049498961392
"Spline operating benchmark",FALSE,21,0.370818645886269,0.00533742178287191,0.112629993462829,0.791997799928161,0.00842390654971471,0.423558013541213,0.129631152584507,0.716505028735632,817.794700417144,0.00447101485511142
"Support load",FALSE,9,0.377479494306253,0.00258111819376608,0.115574194953964,0.780767331178161,0.00502108663986133,0.442357271278402,0.136511825082878,0.67358117816092,840.648386037218,0.0111318632750953
"Usage behavior",FALSE,10,0.394714487695483,0.00499484123446097,0.122222471803283,0.755688195941092,0.0087700433506192,0.435007303863167,0.135698058375139,0.686332614942529,878.865432047879,0.0283668566643246
"Baseline exposure",FALSE,6,0.446874937142693,0.00281870152550158,0.139169605886995,0.619365122126437,0.0103049671041272,0.455874811040365,0.141324289386336,0.576059626436782,998.670137877499,0.0805273061115356
