"Threshold","Flagged","Flagged_share","Events_captured","Sensitivity","Specificity","PPV","NPV"
"10%",147,"52.5%","35 of 48","72.9%","51.7%","23.8%","90.2%"
"15%",103,"36.8%","31 of 48","64.6%","69.0%","30.1%","90.4%"
"20%",77,"27.5%","28 of 48","58.3%","78.9%","36.4%","90.1%"
"25%",59,"21.1%","24 of 48","50.0%","84.9%","40.7%","89.1%"
"30%",46,"16.4%","19 of 48","39.6%","88.4%","41.3%","87.6%"
"35%",38,"13.6%","16 of 48","33.3%","90.5%","42.1%","86.8%"
