"course_id","Level","Target","N","Raw_gain","Expected_gain","Adjusted_gap","CI_95","P_value","Q_value","Decision"
"MATH-PRECALC","Course","MATH-PRECALC",40,"4.99","6.37","-1.38","-2.73 to -0.29","0.020","0.100","Priority review"
"MATH-AP-CALC-BC","Course","MATH-AP-CALC-BC",19,"2.52","4.14","-1.61","-2.90 to -0.12","0.033","0.100","Insufficient sample"
"MATH-AP-CALC-AB","Course","MATH-AP-CALC-AB",49,"4.31","5.18","-0.87","-2.27 to 0.32","0.187","0.336","Watch"
"MATH-BEYOND-CORE","Course","MATH-BEYOND-CORE",3,"-0.11","3.28","-3.39","-8.26 to 0.94","0.087","0.195","Insufficient sample"
"MATH-ALG2","Course","MATH-ALG2",33,"6.57","6.83","-0.26","-1.67 to 1.22","0.673","0.758","In range"
"MATH-GEOM","Course","MATH-GEOM",39,"5.99","6.15","-0.16","-1.59 to 1.73","0.967","0.967","In range"
"MATH-ALG1","Course","MATH-ALG1",13,"7.13","6.45","0.68","-1.30 to 2.34","0.387","0.580","Insufficient sample"
"MATH-ALG2-H","Course","MATH-ALG2-H",26,"6.18","5.59","0.59","-0.91 to 2.37","0.513","0.660","In range"
"MATH-AP-PRECALC","Course","MATH-AP-PRECALC",30,"6.11","4.43","1.69","0.13 to 2.94","0.033","0.100","Bright spot"
