"Diagnostic","Estimate","Interpretation"
"Latest-year expected-gain RMSE","4.683","Typical out-of-sample prediction error on latest-year BOY/EOY gain"
"Latest-year expected-gain MAE","3.728","Average absolute out-of-sample prediction error"
"Latest-year expected-gain R-squared","0.101","Share of latest-year gain variation explained by the expected-growth model"
"Latest-year EOY RMSE","4.683","Typical out-of-sample prediction error on latest-year EOY score"
"Latest-year EOY R-squared","0.932","Share of latest-year EOY score variation explained by the baseline"
"Latest-year residual mean","-0.258","Near 0 means expected gain is centered in the action year"
"Latest-year residual SD","4.686","Latest-year residual spread used for slice uncertainty"
